Pais,Año,Codigo_comida,Comida,Unidad,Valor
Afghanistan ,2020,FG9,Vegetables and their products,g/cap/d,118.4
Afghanistan,2020,FG10,Fruits and their products,g/cap/d,70.2
Afghanistan,2020,FG11,Fats and oils,g/cap/d,41.4
Afghanistan,2020,FG12,Sweets and sugars,g/cap/d,37.4
Argentina,2018,FG9,Vegetables and their products,g/cap/d,99.7
Argentina,2018,FG10,Fruits and their products,g/cap/d,52
Argentina,2018,FG11,Fats and oils,g/cap/d,19.9
Argentina,2018,FG12,Sweets and sugars,g/cap/d,48.4
Argentina,2018,FG17,Food additives,g/cap/d,0.8
Armenia,2019,FG9,Vegetables and their products,g/cap/d,148.3
Armenia,2019,FG10,Fruits and their products,g/cap/d,82.2
Armenia,2019,FG11,Fats and oils,g/cap/d,21.6
Armenia,2019,FG12,Sweets and sugars,g/cap/d,52.9
Armenia,2019,FG17,Food additives,g/cap/d,0
Armenia,2020,FG9,Vegetables and their products,g/cap/d,166.4
Armenia,2020,FG10,Fruits and their products,g/cap/d,83.2
Armenia,2020,FG11,Fats and oils,g/cap/d,24.2
Armenia,2020,FG12,Sweets and sugars,g/cap/d,63.5
Armenia,2020,FG17,Food additives,g/cap/d,0
Armenia,2021,FG9,Vegetables and their products,g/cap/d,170.5
Armenia,2021,FG10,Fruits and their products,g/cap/d,100.5
Armenia,2021,FG11,Fats and oils,g/cap/d,24.4
Armenia,2021,FG12,Sweets and sugars,g/cap/d,74.3
Armenia,2022,FG9,Vegetables and their products,g/cap/d,153.2
Armenia,2022,FG10,Fruits and their products,g/cap/d,85.5
Armenia,2022,FG11,Fats and oils,g/cap/d,22.3
Armenia,2022,FG12,Sweets and sugars,g/cap/d,61.2
Armenia,2022,FG17,Food additives,g/cap/d,0.1
Bangladesh,2010,FG9,Vegetables and their products,g/cap/d,137.7
Bangladesh,2010,FG10,Fruits and their products,g/cap/d,30.1
Bangladesh,2010,FG11,Fats and oils,g/cap/d,20.5
Bangladesh,2010,FG12,Sweets and sugars,g/cap/d,14.8
Bangladesh,2016,FG9,Vegetables and their products,g/cap/d,136.4
Bangladesh,2016,FG10,Fruits and their products,g/cap/d,25.4
Bangladesh,2016,FG11,Fats and oils,g/cap/d,26.4
Bangladesh,2016,FG12,Sweets and sugars,g/cap/d,16.8
Benin,2019,FG9,Vegetables and their products,g/cap/d,65.9
Benin,2019,FG10,Fruits and their products,g/cap/d,72.6
Benin,2019,FG11,Fats and oils,g/cap/d,26.7
Benin,2019,FG12,Sweets and sugars,g/cap/d,15
Benin,2019,FG17,Food additives,g/cap/d,0.1
Benin,2022,FG9,Vegetables and their products,g/cap/d,87.1
Benin,2022,FG10,Fruits and their products,g/cap/d,68.3
Benin,2022,FG11,Fats and oils,g/cap/d,34.4
Benin,2022,FG12,Sweets and sugars,g/cap/d,21.7
Benin,2022,FG17,Food additives,g/cap/d,0.1
Bolivia,2015,FG9,Vegetables and their products,g/cap/d,114.1
Bolivia,2015,FG10,Fruits and their products,g/cap/d,97.5
Bolivia,2015,FG11,Fats and oils,g/cap/d,17.9
Bolivia,2015,FG12,Sweets and sugars,g/cap/d,40.4
Bolivia,2015,FG17,Food additives,g/cap/d,0.1
Burkina Faso,2019,FG9,Vegetables and their products,g/cap/d,57.5
Burkina Faso,2019,FG10,Fruits and their products,g/cap/d,20
Burkina Faso,2019,FG11,Fats and oils,g/cap/d,12.4
Burkina Faso,2019,FG12,Sweets and sugars,g/cap/d,16.3
Burkina Faso,2019,FG17,Food additives,g/cap/d,0.4
Burkina Faso,2022,FG9,Vegetables and their products,g/cap/d,63.3
Burkina Faso,2022,FG10,Fruits and their products,g/cap/d,24.8
Burkina Faso,2022,FG11,Fats and oils,g/cap/d,12.7
Burkina Faso,2022,FG12,Sweets and sugars,g/cap/d,17.4
Burkina Faso,2022,FG17,Food additives,g/cap/d,0.3
Chile,2022,FG9,Vegetables and their products,g/cap/d,140.2
Chile,2022,FG10,Fruits and their products,g/cap/d,110
Chile,2022,FG11,Fats and oils,g/cap/d,27.7
Chile,2022,FG12,Sweets and sugars,g/cap/d,55.3
Chile,2022,FG17,Food additives,g/cap/d,1.1
Costa Rica,2019,FG9,Vegetables and their products,g/cap/d,85.3
Costa Rica,2019,FG10,Fruits and their products,g/cap/d,66.4
Costa Rica,2019,FG11,Fats and oils,g/cap/d,31.4
Costa Rica,2019,FG12,Sweets and sugars,g/cap/d,82.1
Costa Rica,2019,FG17,Food additives,g/cap/d,0.2
Côte d'Ivoire,2019,FG9,Vegetables and their products,g/cap/d,81
Côte d'Ivoire,2019,FG10,Fruits and their products,g/cap/d,52
Côte d'Ivoire,2019,FG11,Fats and oils,g/cap/d,15.4
Côte d'Ivoire,2019,FG12,Sweets and sugars,g/cap/d,13.7
Côte d'Ivoire,2019,FG17,Food additives,g/cap/d,0.1
Côte d'Ivoire,2022,FG9,Vegetables and their products,g/cap/d,70
Côte d'Ivoire,2022,FG10,Fruits and their products,g/cap/d,53.8
Côte d'Ivoire,2022,FG11,Fats and oils,g/cap/d,12
Côte d'Ivoire,2022,FG12,Sweets and sugars,g/cap/d,12.2
Côte d'Ivoire,2022,FG17,Food additives,g/cap/d,0.1
Ethiopia,2016,FG9,Vegetables and their products,g/cap/d,68.2
Ethiopia,2016,FG10,Fruits and their products,g/cap/d,11.4
Ethiopia,2016,FG11,Fats and oils,g/cap/d,16.5
Ethiopia,2016,FG12,Sweets and sugars,g/cap/d,11
Ethiopia,2019,FG9,Vegetables and their products,g/cap/d,83.6
Ethiopia,2019,FG10,Fruits and their products,g/cap/d,16.3
Ethiopia,2019,FG11,Fats and oils,g/cap/d,17.1
Ethiopia,2019,FG12,Sweets and sugars,g/cap/d,14.2
Guatemala,2014,FG9,Vegetables and their products,g/cap/d,101.3
Guatemala,2014,FG10,Fruits and their products,g/cap/d,72.1
Guatemala,2014,FG11,Fats and oils,g/cap/d,12.4
Guatemala,2014,FG12,Sweets and sugars,g/cap/d,51.4
Guinea-Bissau,2019,FG9,Vegetables and their products,g/cap/d,53.8
Guinea-Bissau,2019,FG10,Fruits and their products,g/cap/d,42.4
Guinea-Bissau,2019,FG11,Fats and oils,g/cap/d,24.5
Guinea-Bissau,2019,FG12,Sweets and sugars,g/cap/d,27.3
Guinea-Bissau,2019,FG17,Food additives,g/cap/d,0.3
Guinea-Bissau,2022,FG9,Vegetables and their products,g/cap/d,43.8
Guinea-Bissau,2022,FG10,Fruits and their products,g/cap/d,46.6
Guinea-Bissau,2022,FG11,Fats and oils,g/cap/d,30.9
Guinea-Bissau,2022,FG12,Sweets and sugars,g/cap/d,29.4
Guinea-Bissau,2022,FG17,Food additives,g/cap/d,0.2
India,2012,FG9,Vegetables and their products,g/cap/d,137.8
India,2012,FG10,Fruits and their products,g/cap/d,36.1
India,2012,FG11,Fats and oils,g/cap/d,25.1
India,2012,FG12,Sweets and sugars,g/cap/d,26.7
Kazakhstan,2021,FG9,Vegetables and their products,g/cap/d,186.3
Kazakhstan,2021,FG10,Fruits and their products,g/cap/d,123.3
Kazakhstan,2021,FG11,Fats and oils,g/cap/d,52.4
Kazakhstan,2021,FG12,Sweets and sugars,g/cap/d,137.8
Kazakhstan,2021,FG17,Food additives,g/cap/d,1.2
Kazakhstan,2022,FG9,Vegetables and their products,g/cap/d,184.2
Kazakhstan,2022,FG10,Fruits and their products,g/cap/d,122.1
Kazakhstan,2022,FG11,Fats and oils,g/cap/d,51
Kazakhstan,2022,FG12,Sweets and sugars,g/cap/d,122.6
Kazakhstan,2022,FG17,Food additives,g/cap/d,0.7
Kazakhstan,2023,FG9,Vegetables and their products,g/cap/d,185.7
Kazakhstan,2023,FG10,Fruits and their products,g/cap/d,126.6
Kazakhstan,2023,FG11,Fats and oils,g/cap/d,50.6
Kazakhstan,2023,FG12,Sweets and sugars,g/cap/d,121.5
Kazakhstan,2023,FG17,Food additives,g/cap/d,0.6
Kenya,2016,FG9,Vegetables and their products,g/cap/d,163
Kenya,2016,FG10,Fruits and their products,g/cap/d,66.2
Kenya,2016,FG11,Fats and oils,g/cap/d,18.2
Kenya,2016,FG12,Sweets and sugars,g/cap/d,43.1
Kiribati,2020,FG9,Vegetables and their products,g/cap/d,46.2
Kiribati,2020,FG10,Fruits and their products,g/cap/d,81.4
Kiribati,2020,FG11,Fats and oils,g/cap/d,10.1
Kiribati,2020,FG12,Sweets and sugars,g/cap/d,120.2
Kiribati,2020,FG17,Food additives,g/cap/d,0
