Region,Year,Sexo,Grupo,Valor,Min,Max
Area Andina,2000,Femenino,Estandarizada edad," 159,63 "," 125,02 "," 196,37 "
Area Andina,2000,Femenino,Todas edades," 105,95 "," 82,88 "," 130,73 "
Area Andina,2000,Masculino,Estandarizada edad," 198,33 "," 159,94 "," 238,90 "
Area Andina,2000,Masculino,Todas edades," 107,79 "," 87,00 "," 130,41 "
Area Andina,2001,Femenino,Estandarizada edad," 154,38 "," 120,89 "," 190,30 "
Area Andina,2001,Femenino,Todas edades," 105,49 "," 82,47 "," 130,41 "
Area Andina,2001,Masculino,Estandarizada edad," 192,32 "," 155,07 "," 232,10 "
Area Andina,2001,Masculino,Todas edades," 107,63 "," 86,82 "," 130,41 "
Area Andina,2002,Femenino,Estandarizada edad," 150,08 "," 117,51 "," 185,22 "
Area Andina,2002,Femenino,Todas edades," 105,42 "," 82,38 "," 130,45 "
Area Andina,2002,Masculino,Estandarizada edad," 183,21 "," 147,73 "," 221,80 "
Area Andina,2002,Masculino,Todas edades," 105,20 "," 84,81 "," 127,87 "
Area Andina,2003,Femenino,Estandarizada edad," 149,75 "," 117,29 "," 184,45 "
Area Andina,2003,Femenino,Todas edades," 107,79 "," 84,24 "," 133,09 "
Area Andina,2003,Masculino,Estandarizada edad," 187,31 "," 151,45 "," 226,15 "
Area Andina,2003,Masculino,Todas edades," 109,88 "," 88,91 "," 133,14 "
Area Andina,2004,Femenino,Estandarizada edad," 143,75 "," 112,39 "," 177,56 "
Area Andina,2004,Femenino,Todas edades," 105,85 "," 82,59 "," 131,02 "
Area Andina,2004,Masculino,Estandarizada edad," 184,35 "," 149,19 "," 222,68 "
Area Andina,2004,Masculino,Todas edades," 110,43 "," 89,46 "," 133,81 "
Area Andina,2005,Femenino,Estandarizada edad," 141,46 "," 110,52 "," 175,09 "
Area Andina,2005,Femenino,Todas edades," 106,57 "," 83,11 "," 132,15 "
Area Andina,2005,Masculino,Estandarizada edad," 184,03 "," 148,87 "," 222,30 "
Area Andina,2005,Masculino,Todas edades," 112,51 "," 91,17 "," 136,30 "
Area Andina,2006,Femenino,Estandarizada edad," 139,31 "," 108,95 "," 172,43 "
Area Andina,2006,Femenino,Todas edades," 108,42 "," 84,58 "," 134,41 "
Area Andina,2006,Masculino,Estandarizada edad," 179,80 "," 145,70 "," 217,19 "
Area Andina,2006,Masculino,Todas edades," 113,40 "," 92,02 "," 137,33 "
Area Andina,2007,Femenino,Estandarizada edad," 133,78 "," 104,22 "," 166,31 "
Area Andina,2007,Femenino,Todas edades," 107,39 "," 83,42 "," 133,69 "
Area Andina,2007,Masculino,Estandarizada edad," 174,84 "," 141,36 "," 211,65 "
Area Andina,2007,Masculino,Todas edades," 113,63 "," 91,96 "," 137,89 "
Area Andina,2008,Femenino,Estandarizada edad," 133,45 "," 103,87 "," 166,07 "
Area Andina,2008,Femenino,Todas edades," 110,21 "," 85,51 "," 137,31 "
Area Andina,2008,Masculino,Estandarizada edad," 174,59 "," 141,24 "," 211,73 "
Area Andina,2008,Masculino,Todas edades," 116,28 "," 94,14 "," 141,34 "
Area Andina,2009,Femenino,Estandarizada edad," 129,23 "," 99,93 "," 161,68 "
Area Andina,2009,Femenino,Todas edades," 109,65 "," 84,52 "," 137,33 "
Area Andina,2009,Masculino,Estandarizada edad," 168,70 "," 136,04 "," 205,87 "
Area Andina,2009,Masculino,Todas edades," 115,46 "," 93,16 "," 141,21 "
Area Andina,2010,Femenino,Estandarizada edad," 130,64 "," 100,81 "," 164,02 "
Area Andina,2010,Femenino,Todas edades," 113,78 "," 87,53 "," 142,94 "
