Zona,Indicador,Edad,Sexo,Año,Valor,Minimo valor,Maximo valor
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2000,"33,00","31,30","34,90"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2001,"33,20","31,50","35,00"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2002,"33,50","31,80","35,20"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2003,"33,70","32,10","35,30"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2004,"33,80","32,30","35,40"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2005,"34,00","32,50","35,60"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2006,"34,20","32,60","35,70"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2007,"34,30","32,80","35,90"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2008,"34,40","32,90","35,90"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2009,"34,40","32,90","36,00"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2010,"34,40","32,90","36,00"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2011,"34,40","32,90","35,90"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2012,"34,30","32,80","35,80"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2013,"34,20","32,70","35,70"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2014,"34,10","32,40","35,70"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2015,"33,90","32,20","35,60"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2016,"33,80","31,80","35,70"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2017,"33,60","31,40","35,80"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2018,"33,50","30,90","36,00"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2019,"33,30","30,40","36,30"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2000,"35,90","33,80","38,00"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2001,"36,10","34,00","38,20"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2002,"36,30","34,30","38,30"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2003,"36,50","34,50","38,40"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2004,"36,70","34,70","38,60"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2005,"36,80","35,00","38,80"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2006,"37,00","35,20","38,90"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2007,"37,20","35,40","39,00"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2008,"37,30","35,50","39,10"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2009,"37,40","35,60","39,20"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2010,"37,50","35,80","39,30"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2011,"37,50","35,80","39,30"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2012,"37,50","35,80","39,30"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2013,"37,50","35,70","39,30"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2014,"37,50","35,60","39,40"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2015,"37,50","35,50","39,50"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2016,"37,50","35,30","39,70"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2017,"37,50","35,10","40,10"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2018,"37,60","34,70","40,50"
Region of the Americas,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2019,"37,60","34,40","40,90"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2000,"66,20","62,80","69,50"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2001,"66,80","63,40","70,00"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2002,"67,50","64,10","70,60"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2003,"68,20","65,00","71,30"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2004,"69,00","65,80","72,00"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2005,"69,80","66,70","72,70"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2006,"70,60","67,60","73,40"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2007,"71,40","68,50","74,10"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2008,"72,10","69,30","74,70"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2009,"72,70","70,10","75,20"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2010,"73,30","70,80","75,70"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2011,"73,80","71,40","76,10"
Region of the Americas,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2012,"74,20","71,90","76,40"
